image,cluster,count
130101.jpg,60,9
130101.jpg,61,4
130101.jpg,62,28
130101.jpg,63,23
130101.jpg,64,16
130101.jpg,65,36
130101.jpg,66,19
130101.jpg,67,12
130101.jpg,68,13
130101.jpg,69,7
130101.jpg,7,12
130101.jpg,70,12
130101.jpg,71,43
130101.jpg,72,7
130101.jpg,73,6
130101.jpg,74,6
130101.jpg,75,25
130101.jpg,76,8
130101.jpg,77,12
130101.jpg,78,10
130101.jpg,79,5
130101.jpg,8,4
130101.jpg,80,20
130101.jpg,81,73
130101.jpg,82,18
130101.jpg,83,4
130101.jpg,84,37
130101.jpg,85,65
130101.jpg,86,6
130101.jpg,87,16
130101.jpg,88,15
130101.jpg,89,63
130101.jpg,9,1
130101.jpg,90,11
130101.jpg,91,1
130101.jpg,92,30
130101.jpg,93,18
130101.jpg,94,37
130101.jpg,95,37
130101.jpg,96,9
130101.jpg,97,157
130101.jpg,98,9
130101.jpg,99,3
130201.jpg,0,22
130201.jpg,1,88
130201.jpg,10,58
130201.jpg,11,59
130201.jpg,12,28
130201.jpg,13,43
130201.jpg,14,42
130201.jpg,15,38
130201.jpg,16,41
130201.jpg,17,78
130201.jpg,18,66
130201.jpg,19,52
130201.jpg,2,22
130201.jpg,20,43
130201.jpg,21,35
130201.jpg,22,64
130201.jpg,23,40
130201.jpg,24,43
130201.jpg,25,32
130201.jpg,26,19
130201.jpg,27,30
130201.jpg,28,32
130201.jpg,29,37
130201.jpg,3,41
130201.jpg,30,59
130201.jpg,31,48
130201.jpg,32,53
130201.jpg,33,64
130201.jpg,34,63
130201.jpg,35,58
130201.jpg,36,46
130201.jpg,37,33
130201.jpg,38,70
130201.jpg,39,43
130201.jpg,4,59
130201.jpg,40,66
130201.jpg,41,22
130201.jpg,42,46
130201.jpg,43,85
130201.jpg,44,64
130201.jpg,45,44
130201.jpg,46,26
130201.jpg,47,35
130201.jpg,48,55
130201.jpg,49,39
130201.jpg,5,50
130201.jpg,50,50
130201.jpg,51,20
130201.jpg,52,39
130201.jpg,53,34
130201.jpg,54,69
130201.jpg,55,40
130201.jpg,56,35
130201.jpg,57,38
130201.jpg,58,43
130201.jpg,59,59
130201.jpg,6,32
130201.jpg,60,84
130201.jpg,61,38
130201.jpg,62,56
130201.jpg,63,87
130201.jpg,64,66
130201.jpg,65,20
130201.jpg,66,39
130201.jpg,67,66
130201.jpg,68,80
130201.jpg,69,64
130201.jpg,7,49
130201.jpg,70,49
130201.jpg,71,93
130201.jpg,72,72
130201.jpg,73,40
130201.jpg,74,66
130201.jpg,75,109
130201.jpg,76,35
130201.jpg,77,33
130201.jpg,78,42
130201.jpg,79,87
130201.jpg,8,25
130201.jpg,80,46
130201.jpg,81,55
130201.jpg,82,54
130201.jpg,83,40
130201.jpg,84,33
130201.jpg,85,40
130201.jpg,86,56
130201.jpg,87,81
130201.jpg,88,49
130201.jpg,89,72
130201.jpg,9,31
130201.jpg,90,55
130201.jpg,91,52
130201.jpg,92,34
130201.jpg,93,97
130201.jpg,94,66
130201.jpg,95,57
130201.jpg,96,62
130201.jpg,97,44
130201.jpg,98,65
130201.jpg,99,24
131000.jpg,0,60
131000.jpg,1,202
131000.jpg,10,120
131000.jpg,11,153
131000.jpg,12,85
131000.jpg,13,66
131000.jpg,14,104
131000.jpg,15,124
131000.jpg,16,114
131000.jpg,17,151
131000.jpg,18,104
131000.jpg,19,144
131000.jpg,2,99
131000.jpg,20,108
131000.jpg,21,101
131000.jpg,22,124
131000.jpg,23,126
131000.jpg,24,85
131000.jpg,25,71
131000.jpg,26,36
131000.jpg,27,98
131000.jpg,28,120
131000.jpg,29,127
131000.jpg,3,110
131000.jpg,30,254
131000.jpg,31,106
131000.jpg,32,112
131000.jpg,33,143
131000.jpg,34,151
131000.jpg,35,127
131000.jpg,36,128
131000.jpg,37,222
131000.jpg,38,141
131000.jpg,39,101
131000.jpg,4,100
131000.jpg,40,139
131000.jpg,41,78
131000.jpg,42,125
131000.jpg,43,146
131000.jpg,44,97
131000.jpg,45,123
131000.jpg,46,114
131000.jpg,47,95
131000.jpg,48,69
131000.jpg,49,93
131000.jpg,5,105
131000.jpg,50,71
131000.jpg,51,70
131000.jpg,52,150
131000.jpg,53,96
131000.jpg,54,147
131000.jpg,55,77
131000.jpg,56,122
131000.jpg,57,79
131000.jpg,58,137
131000.jpg,59,140
131000.jpg,6,111
131000.jpg,60,154
131000.jpg,61,120
131000.jpg,62,127
131000.jpg,63,135
131000.jpg,64,147
131000.jpg,65,46
131000.jpg,66,117
131000.jpg,67,161
131000.jpg,68,186
131000.jpg,69,118
131000.jpg,7,184
131000.jpg,70,104
131000.jpg,71,372
131000.jpg,72,102
131000.jpg,73,89
131000.jpg,74,125
131000.jpg,75,245
131000.jpg,76,110
131000.jpg,77,110
131000.jpg,78,137
131000.jpg,79,185
131000.jpg,8,69
131000.jpg,80,125
131000.jpg,81,92
131000.jpg,82,152
131000.jpg,83,91
131000.jpg,84,75
131000.jpg,85,58
131000.jpg,86,117
131000.jpg,87,181
131000.jpg,88,123
131000.jpg,89,98
131000.jpg,9,102
131000.jpg,90,141
131000.jpg,91,68
131000.jpg,92,82
131000.jpg,93,261
131000.jpg,94,143
131000.jpg,95,248
131000.jpg,96,123
131000.jpg,97,98
131000.jpg,98,157
131000.jpg,99,47
131101.jpg,0,46
131101.jpg,1,126
131101.jpg,10,60
131101.jpg,11,116
131101.jpg,12,160
131101.jpg,13,96
131101.jpg,14,128
131101.jpg,15,138
131101.jpg,16,81
131101.jpg,17,78
131101.jpg,18,73
131101.jpg,19,167
131101.jpg,2,109
131101.jpg,20,138
131101.jpg,21,101
131101.jpg,22,72
131101.jpg,23,114
131101.jpg,24,68
131101.jpg,25,38
131101.jpg,26,224
131101.jpg,27,87
131101.jpg,28,150
131101.jpg,29,201
131101.jpg,3,122
131101.jpg,30,554
131101.jpg,31,105
131101.jpg,32,123
131101.jpg,33,74
131101.jpg,34,163
131101.jpg,35,83
131101.jpg,36,143
131101.jpg,37,211
131101.jpg,38,118
131101.jpg,39,100
131101.jpg,4,138
131101.jpg,40,79
131101.jpg,41,117
131101.jpg,42,118
131101.jpg,43,94
131101.jpg,44,109
131101.jpg,45,169
131101.jpg,46,130
131101.jpg,47,106
131101.jpg,48,88
131101.jpg,49,141
131101.jpg,5,95
131101.jpg,50,85
131101.jpg,51,95
131101.jpg,52,166
131101.jpg,53,186
131101.jpg,54,42
131101.jpg,55,83
131101.jpg,56,224
131101.jpg,57,43
131101.jpg,58,123
131101.jpg,59,279
131101.jpg,6,106
131101.jpg,60,97
131101.jpg,61,154
131101.jpg,62,184
131101.jpg,63,107
131101.jpg,64,242
131101.jpg,65,183
131101.jpg,66,213
131101.jpg,67,199
131101.jpg,68,73
131101.jpg,69,129
131101.jpg,7,200
131101.jpg,70,85
131101.jpg,71,477
131101.jpg,72,117
131101.jpg,73,82
131101.jpg,74,103
131101.jpg,75,111
131101.jpg,76,89
131101.jpg,77,102
131101.jpg,78,101
131101.jpg,79,122
131101.jpg,8,46
131101.jpg,80,174
131101.jpg,81,93
131101.jpg,82,163
131101.jpg,83,81
131101.jpg,84,276
131101.jpg,85,141
131101.jpg,86,102
131101.jpg,87,125
131101.jpg,88,136
131101.jpg,89,193
131101.jpg,9,140
131101.jpg,90,131
131101.jpg,91,54
131101.jpg,92,300
131101.jpg,93,358
131101.jpg,94,53
131101.jpg,95,127
131101.jpg,96,118
131101.jpg,97,188
131101.jpg,98,128
131101.jpg,99,51
131401.jpg,0,10
131401.jpg,1,97
131401.jpg,10,45
131401.jpg,11,21
131401.jpg,12,33
131401.jpg,13,25
131401.jpg,14,26
131401.jpg,15,45
131401.jpg,16,34
131401.jpg,17,30
131401.jpg,18,27
131401.jpg,19,52
131401.jpg,2,22
131401.jpg,20,37
131401.jpg,21,15
131401.jpg,22,46
131401.jpg,23,20
131401.jpg,24,18
131401.jpg,25,9
131401.jpg,26,65
131401.jpg,27,29
131401.jpg,28,34
131401.jpg,29,64
131401.jpg,3,31
131401.jpg,30,227
131401.jpg,31,32
131401.jpg,32,64
131401.jpg,33,14
131401.jpg,34,39
131401.jpg,35,50
131401.jpg,36,65
131401.jpg,37,151
131401.jpg,38,29
131401.jpg,39,49
131401.jpg,4,52
131401.jpg,40,32
131401.jpg,41,27
131401.jpg,42,19
131401.jpg,43,29
131401.jpg,44,24
131401.jpg,45,69
131401.jpg,46,21
131401.jpg,47,27
131401.jpg,48,22
131401.jpg,49,43
131401.jpg,5,34
131401.jpg,50,18
131401.jpg,51,14
131401.jpg,52,49
131401.jpg,53,55
131401.jpg,54,24
131401.jpg,55,14
131401.jpg,56,56
131401.jpg,57,4
131401.jpg,58,49
131401.jpg,59,73
131401.jpg,6,30
131401.jpg,60,27
131401.jpg,61,33
131401.jpg,62,42
131401.jpg,63,36
131401.jpg,64,51
131401.jpg,65,15
131401.jpg,66,49
131401.jpg,67,50
131401.jpg,68,62
131401.jpg,69,43
131401.jpg,7,54
131401.jpg,70,18
131401.jpg,71,246
131401.jpg,72,33
131401.jpg,73,33
131401.jpg,74,26
131401.jpg,75,91
131401.jpg,76,20
131401.jpg,77,27
131401.jpg,78,32
131401.jpg,79,74
131401.jpg,8,11
131401.jpg,80,73
131401.jpg,81,87
131401.jpg,82,51
131401.jpg,83,20
131401.jpg,84,86
131401.jpg,85,30
131401.jpg,86,29
131401.jpg,87,80
131401.jpg,88,49
131401.jpg,89,23
131401.jpg,9,36
131401.jpg,90,45
131401.jpg,91,19
131401.jpg,92,64
131401.jpg,93,97
131401.jpg,94,40
131401.jpg,95,112
131401.jpg,96,68
131401.jpg,97,77
131401.jpg,98,30
131401.jpg,99,11
